time,seconds_elapsed,z,y,x
1683474283726865700,0.17486572265625,0.03298672288656235,-0.01771509274840355,0.05314527451992035
1683474283736865800,0.18486572265625,0.05314527451992035,-0.09773843735456467,0.05864306539297104
1683474283746854700,0.194854736328125,0.10506882518529892,-0.20463985204696655,0.10445795953273773
1683474283756885200,0.20488525390625,0.19425514340400696,-0.29565876722335815,0.17104226350784302
1683474283766843600,0.21484375,0.2168571650981903,-0.45692721009254456,0.22663100063800812
1683474283776875000,0.224875,0.192422553896904,-0.523511528968811,0.294437050819397
1683474283786863000,0.234863037109375,0.152105450630188,-0.5247332453727722,0.3701843321323395
1683474283796894500,0.24489453125,0.08918632566928864,-0.4990769028663635,0.44104471802711487
1683474283806852400,0.254852294921875,0.036651913076639175,-0.4306600093841553,0.49785518646240234
1683474283816883500,0.264883544921875,0.010995574295520782,-0.34208452701568604,0.5204572081565857
1683474283826871800,0.274871826171875,0.00855211354792118,-0.27488934993743896,0.5015203952789307
1683474283836872200,0.2848720703125,0.01160643994808197,-0.26633724570274353,0.46731191873550415
1683474283846860800,0.29486083984375,0.004886921960860491,-0.2565633952617645,0.4343251883983612
1683474283856889900,0.304889892578125,0.0006108652451075613,-0.24007004499435425,0.38728857040405273
1683474283866848800,0.314848876953125,0.009773843921720982,-0.25534167885780334,0.32498031854629517
1683474283876879000,0.324879150390625,0.030543262138962746,-0.2687807083129883,0.24434609711170197
1683474283886868200,0.3348681640625,0.05619960278272629,-0.28588494658470154,0.15027284622192383
1683474283896869000,0.344869140625,0.0861319974064827,-0.3127630054950714,0.02932153269648552
1683474283906857200,0.354857177734375,0.08368854224681854,-0.3139847218990326,-0.004886921960860491
1683474283916888600,0.364888671875,0.06169738993048668,-0.2583959996700287,0.006108652334660292
1683474283926846500,0.374846435546875,0.02932153269648552,-0.18875735998153687,0.03420845419168472
1683474283936877800,0.3848779296875,0.012217304669320583,-0.13011430203914642,0.06658431142568588
1683474283946866000,0.394865966796875,0.0012217304902151227,-0.06352998316287994,0.10262536257505417
1683474283956867000,0.4048671875,-0.006719517521560192,-0.0006108652451075613,0.1215621829032898
1683474283966855700,0.414855712890625,0.001832595793530345,0.04764748737215996,0.1160643994808197
1683474283976887000,0.424886962890625,0.00733038317412138,0.08002334833145142,0.10690141469240189
1683474283986844700,0.4348447265625,0.009773843921720982,0.10018189996480942,0.09162978827953339
1683474283996875800,0.444875732421875,0.005497787147760391,0.10445795953273773,0.06841690838336945
1683474284006864400,0.454864501953125,-0.01160643994808197,0.07880161702632904,0.04459316283464432
1683474284016864300,0.4648642578125,-0.04886921867728233,0.09529497474431992,0.009773843921720982
1683474284026853000,0.47485302734375,-0.027488935738801956,0.22602014243602753,-0.07819075137376785
1683474284036883700,0.4848837890625,0.025656340643763542,0.20830504596233368,-0.17043140530586243
1683474284046872600,0.49487255859375,0.05864306539297104,0.028099801391363144,-0.2064724564552307
1683474284056873500,0.50487353515625,0.04153883829712868,-0.001832595793530345,-0.22357667982578278
1683474284066861800,0.51486181640625,0.06414084881544113,-0.015271631069481373,-0.16554448008537292
1683474284076892400,0.524892333984375,0.11484266817569733,-0.09834930300712585,-0.07819075137376785
1683474284086850800,0.534850830078125,0.16798794269561768,-0.19975294172763824,0.004886921960860491
