time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
1683474283576726300,0.024726318359375,-0.9068027138710022,-0.08332027494907379,0.13130159676074982,0.3918246030807495,0.17966106534004211,-0.2568182945251465,2.349123001098633
1683474283586705700,0.03470556640625,-0.9067592620849609,-0.08262292295694351,0.13266555964946747,0.3916133642196655,0.18284723162651062,-0.2565504312515259,2.349870443344116
1683474283596715300,0.04471533203125,-0.9066951274871826,-0.08202028274536133,0.1337234228849411,0.3915287256240845,0.18534252047538757,-0.25624287128448486,2.3502719402313232
1683474283606725000,0.05472509765625,-0.9063940644264221,-0.0813453271985054,0.13437727093696594,0.3921423554420471,0.18692509829998016,-0.2556268274784088,2.34903621673584
1683474283616704500,0.06470458984375,-0.9063256978988647,-0.08065401762723923,0.13499942421913147,0.3922294080257416,0.18860913813114166,-0.25484880805015564,2.3489630222320557
1683474283626714000,0.074714111328125,-0.9062860012054443,-0.0798654556274414,0.13577258586883545,0.39221566915512085,0.1906825304031372,-0.2539881467819214,2.3491411209106445
1683474283636723700,0.0847236328125,-0.9062111377716064,-0.08089008927345276,0.1406828910112381,0.3904441297054291,0.19977423548698425,-0.25936266779899597,2.354095220565796
1683474283646703000,0.094703125,-0.9059845209121704,-0.08070392906665802,0.14316417276859283,0.39010652899742126,0.2047501802444458,-0.2608807384967804,2.355356216430664
1683474283656713000,0.104712890625,-0.9057776927947998,-0.08034029603004456,0.14433184266090393,0.39023151993751526,0.20721781253814697,-0.2611446678638458,2.3553125858306885
1683474283666722800,0.114722900390625,-0.9044645428657532,-0.07973979413509369,0.144999697804451,0.39314210414886475,0.20810352265834808,-0.26121506094932556,2.3489632606506348
1683474283676702000,0.124701904296875,-0.9010584354400635,-0.07867056876420975,0.14586645364761353,0.4007837772369385,0.20835423469543457,-0.26167136430740356,2.332077741622925
1683474283686711800,0.1347119140625,-0.9008540511131287,-0.07899229973554611,0.1459345668554306,0.40115511417388916,0.2081277072429657,-0.26240694522857666,2.3312695026397705
1683474283696721400,0.144721435546875,-0.8993070125579834,-0.07905343919992447,0.14610902965068817,0.40453627705574036,0.2074226289987564,-0.26343587040901184,2.3237433433532715
1683474283706700800,0.15470068359375,-0.9000006914138794,-0.08008323609828949,0.14577169716358185,0.40290939807891846,0.20645985007286072,-0.2646956443786621,2.327333688735962
1683474283716441600,0.164441650390625,-0.9030598998069763,-0.08197017759084702,0.1449173539876938,0.3959328830242157,0.20544150471687317,-0.26592621207237244,2.3427767753601074
1683474283726720300,0.17472021484375,-0.9050792455673218,-0.08328959345817566,0.14433369040489197,0.3912317156791687,0.2047184705734253,-0.2668592929840088,2.353154420852661
1683474283736699400,0.184699462890625,-0.9055376648902893,-0.08378701657056808,0.144184872508049,0.3901178240776062,0.2043905109167099,-0.2674187123775482,2.3556110858917236
1683474283746709200,0.194709228515625,-0.9055293202400208,-0.08411719650030136,0.14410896599292755,0.3900943994522095,0.20400500297546387,-0.26796889305114746,2.3556530475616455
1683474283756719000,0.204718994140625,-0.9054832458496094,-0.08480443060398102,0.14370249211788177,0.3902023136615753,0.20268018543720245,-0.26895490288734436,2.3553366661071777
1683474283766698200,0.2146982421875,-0.9053018093109131,-0.08627647161483765,0.14259544014930725,0.3907065987586975,0.19930587708950043,-0.27094122767448425,2.3539929389953613
1683474283776708000,0.2247080078125,-0.9051662683486938,-0.0883331149816513,0.14083556830883026,0.3911990821361542,0.19424095749855042,-0.2734987735748291,2.3525238037109375
1683474283786718000,0.234718017578125,-0.9050474762916565,-0.09085068106651306,0.13888861238956451,0.3915933668613434,0.18849238753318787,-0.2767430543899536,2.351208448410034
1683474283796727800,0.244727783203125,-0.9048266410827637,-0.09359735995531082,0.13713541626930237,0.3920744061470032,0.18290407955646515,-0.2805803418159485,2.3497090339660645
1683474283806706700,0.254706787109375,-0.904665470123291,-0.09655167162418365,0.13565407693386078,0.39224496483802795,0.17776481807231903,-0.28495386242866516,2.3489277362823486
1683474283816716500,0.264716552734375,-0.9044293165206909,-0.09951132535934448,0.13465319573879242,0.39239469170570374,0.1735386699438095,-0.2897120714187622,2.3482699394226074
1683474283826726100,0.27472607421875,-0.9042215943336487,-0.10240808874368668,0.13408969342708588,0.39232125878334045,0.17026399075984955,-0.29465702176094055,2.348188877105713
1683474283836705500,0.28470556640625,-0.9039768576622009,-0.10507412254810333,0.1337999850511551,0.39227908849716187,0.16767624020576477,-0.299395889043808,2.3480899333953857
1683474283846715400,0.29471533203125,-0.9034909009933472,-0.10751336067914963,0.133561909198761,0.39281824231147766,0.1651591658592224,-0.3038601875305176,2.346688985824585
1683474283856725200,0.304725341796875,-0.9031733870506287,-0.10985265672206879,0.13328440487384796,0.3929956257343292,0.1627597063779831,-0.30804094672203064,2.346081018447876
1683474283866704400,0.314704345703125,-0.9029062390327454,-0.11197704821825027,0.13299764692783356,0.39310693740844727,0.16052643954753876,-0.31180188059806824,2.3456180095672607
1683474283876714200,0.32471435546875,-0.9028328061103821,-0.11390722543001175,0.13248315453529358,0.39289501309394836,0.1581169217824936,-0.31496405601501465,2.3458290100097656
1683474283886723800,0.334723876953125,-0.9029152393341064,-0.1143004298210144,0.13391444087028503,0.392105370759964,0.1608482152223587,-0.3166915476322174,2.3479459285736084
1683474283896703000,0.344702880859375,-0.9029094576835632,-0.11557850986719131,0.13285961747169495,0.39210274815559387,0.1578301340341568,-0.31824809312820435,2.3475875854492188
1683474283906712800,0.354712890625,-0.9029406309127808,-0.11639490723609924,0.13141317665576935,0.39227673411369324,0.15435060858726501,-0.3186618387699127,2.346759557723999
